record_id,herb_id,record_type,question
REC-0001,HERB-0001,herb_profile,"What is ginger traditionally used for, especially when someone has nausea or digestive upset?"
REC-0001,HERB-0001,herb_profile,"Does ginger have any evidence for helping with nausea, menstrual pain, colds, or osteoarthritis?"
REC-0001,HERB-0001,herb_profile,"What side effects can happen with ginger, and what problems should make someone be careful with it?"
REC-0001,HERB-0001,herb_profile,"Can ginger interact with blood thinners, blood pressure medicine, or diabetes medication?"
REC-0001,HERB-0001,herb_profile,"How should I choose a ginger supplement in Canada, and what should I look for on the label?"
REC-0002,HERB-0001,use_case,What can ginger help with if I’m dealing with nausea or an upset stomach?
REC-0002,HERB-0001,use_case,Is ginger actually supported by research for motion sickness or pregnancy-related nausea?
REC-0002,HERB-0001,use_case,"How is ginger usually used for nausea — as food, tea, or a supplement?"
REC-0002,HERB-0001,use_case,Are there any side effects or downsides to using ginger for nausea?
REC-0002,HERB-0001,use_case,"Who should be careful with ginger, especially if they’re pregnant, have gallstones, or take blood thinner or diabetes medicines?"
REC-0003,HERB-0001,use_case,Can ginger help with menstrual cramps or period pain?
REC-0003,HERB-0001,use_case,Is ginger a reasonable natural option for pelvic cramps that feel worse with cold-type symptoms?
REC-0003,HERB-0001,use_case,What does the evidence say about ginger for reducing menstrual pain?
REC-0003,HERB-0001,use_case,How can I use ginger as a tea or in food for menstrual cramps without treating it like a medicine dose?
REC-0003,HERB-0001,use_case,"Are there any side effects or cautions with ginger, especially if I'm pregnant, having surgery soon, or taking blood thinners or diabetes medicine?"
REC-0004,HERB-0001,preparation,How is ginger usually used in cooking or as a tea instead of as a concentrated supplement?
REC-0004,HERB-0001,preparation,What should I watch out for if I get heartburn or stomach upset from ginger products?
REC-0004,HERB-0001,preparation,"Is it okay to take ginger if I'm pregnant, have gallstones, or I'm having surgery soon?"
REC-0004,HERB-0001,preparation,"Can ginger interact with blood thinners, diabetes meds, or medicines for blood pressure?"
REC-0004,HERB-0001,preparation,"What should I check on a ginger supplement label when buying one in Canada, like the NPN or product details?"
REC-0005,HERB-0001,safety_interaction,What side effects can ginger cause if I take it as a supplement?
REC-0005,HERB-0001,safety_interaction,Is ginger safe to use during pregnancy or before surgery?
REC-0005,HERB-0001,safety_interaction,"Can ginger interact with blood thinners, diabetes meds, or blood pressure medicine?"
REC-0005,HERB-0001,safety_interaction,Who should be careful with ginger because of gallstones or bleeding risk?
REC-0005,HERB-0001,safety_interaction,Is it usually okay to use ginger as food or in a mild tea instead of a concentrated product?
REC-0006,HERB-0002,herb_profile,What is Asian ginseng actually used for in traditional Chinese medicine?
REC-0006,HERB-0002,herb_profile,Does Panax ginseng have any evidence for helping with fatigue or low energy?
REC-0006,HERB-0002,herb_profile,What side effects or safety issues should I know about before taking Asian ginseng?
REC-0006,HERB-0002,herb_profile,Are there any medicines or supplements that Asian ginseng can interact with?
REC-0006,HERB-0002,herb_profile,"If I’m buying ginseng in Canada, how do I make sure I’m getting the right product?"
REC-0007,HERB-0002,use_case,What might Asian ginseng help with if someone has ongoing fatigue and low energy?
REC-0007,HERB-0002,use_case,"Is there any real evidence that Panax ginseng can improve general tiredness, or is it mostly traditional use?"
REC-0007,HERB-0002,use_case,What kind of fatigue was ginseng traditionally used for in Chinese medicine?
REC-0007,HERB-0002,use_case,"Are there any health problems that should be checked before trying ginseng for exhaustion, like thyroid issues or anemia?"
REC-0007,HERB-0002,use_case,What side effects or medication interactions should I watch for with Asian ginseng?
REC-0008,HERB-0002,use_case,Could Asian ginseng help with blood sugar control in type 2 diabetes?
REC-0008,HERB-0002,use_case,What do traditional Chinese medicine sources say about using ginseng for thirst or weakness linked to deficiency?
REC-0008,HERB-0002,use_case,Is there good clinical evidence that Panax ginseng can support metabolic health or lower glucose?
REC-0008,HERB-0002,use_case,What side effects or safety issues should I know about if I'm considering Asian ginseng for diabetes support?
REC-0008,HERB-0002,use_case,"Can Asian ginseng interact with diabetes medicines, warfarin, or stimulants?"
REC-0009,HERB-0002,preparation,How should I use Asian ginseng if I want to buy a licensed product or a practitioner formula?
REC-0009,HERB-0002,preparation,"What should I check when buying Panax ginseng in Canada, like whether it has an NPN or the right root extract?"
REC-0009,HERB-0002,preparation,What are the main differences between taking Asian ginseng as an extract versus another preparation form?
REC-0009,HERB-0002,preparation,"Is Asian ginseng the kind of herb people use for fatigue, weakness, or poor appetite?"
REC-0009,HERB-0002,preparation,"What safety issues should I know about with Asian ginseng, especially if I have diabetes, take warfarin, or am pregnant?"
REC-0010,HERB-0002,safety_interaction,"What side effects can Asian ginseng cause, like trouble sleeping or changes in blood sugar or blood pressure?"
REC-0010,HERB-0002,safety_interaction,Is Asian ginseng safe to use during pregnancy or if someone has an autoimmune condition or a bleeding disorder?
REC-0010,HERB-0002,safety_interaction,"Which medicines can Asian ginseng interact with, such as warfarin, diabetes drugs, stimulants, or MAO inhibitors?"
REC-0010,HERB-0002,safety_interaction,"Should people with diabetes, mania, or long-term use concerns be careful with Panax ginseng?"
REC-0010,HERB-0002,safety_interaction,What should I check when buying Asian ginseng in Canada to make sure it’s the right product?
REC-0011,HERB-0003,herb_profile,What is Astragalus (Huang Qi) usually used for in traditional Chinese medicine?
REC-0011,HERB-0003,herb_profile,"Is there any modern research on Astragalus for things like fatigue or recovery, and how strong is the evidence?"
REC-0011,HERB-0003,herb_profile,What side effects or safety issues should I know about before using Astragalus?
REC-0011,HERB-0003,herb_profile,"Who should avoid taking Astragalus, especially if they have autoimmune disease, are pregnant, or take immune-suppressing medicines?"
REC-0011,HERB-0003,herb_profile,"If I’m buying Astragalus in Canada, what should I look for on the label to make sure it’s a legitimate product?"
REC-0012,HERB-0003,use_case,"What herbs are traditionally used for ongoing fatigue and low energy, like Astragalus?"
REC-0012,HERB-0003,use_case,"Could Astragalus help with weakness and poor recovery, or is there good evidence for that?"
REC-0012,HERB-0003,use_case,"I keep feeling tired all the time — is Astragalus something to try, or should that be checked by a doctor first?"
REC-0012,HERB-0003,use_case,"What kinds of traditional Chinese medicine patterns is Huang Qi used for, like qi deficiency or spontaneous sweating?"
REC-0012,HERB-0003,use_case,"Are there any safety concerns with Astragalus if someone has an autoimmune condition, is pregnant, or takes immunosuppressants?"
REC-0013,HERB-0003,use_case,What is Astragalus traditionally used for if someone keeps getting respiratory infections or colds a lot?
REC-0013,HERB-0003,use_case,"Does astragalus actually help prevent common colds, or is the evidence still weak?"
REC-0013,HERB-0003,use_case,"Who should avoid taking astragalus without medical advice, especially if they have autoimmune disease or had a transplant?"
REC-0013,HERB-0003,use_case,Can astragalus interact with immunosuppressant or other immune-related medicines?
REC-0013,HERB-0003,use_case,"If I want to buy astragalus in Canada, what should I check on the product label or listing to make sure it’s a legitimate licensed product?"
REC-0014,HERB-0003,preparation,"How is astragalus usually prepared or used in practice, like as a tea, decoction, extract, or in food?"
REC-0014,HERB-0003,preparation,"What should I check when buying astragalus in Canada, especially if I want a licensed product?"
REC-0014,HERB-0003,preparation,"Is it safe to use Huang Qi on my own, or should I talk to a clinician or pharmacist first?"
REC-0014,HERB-0003,preparation,"What are the main cautions for astragalus if someone is pregnant, has an autoimmune condition, or has had a transplant?"
REC-0014,HERB-0003,preparation,Can astragalus interact with immunosuppressants or other immune-modifying medicines?
REC-0015,HERB-0003,safety_interaction,"What side effects or problems can happen with astragalus, like stomach upset or allergies?"
REC-0015,HERB-0003,safety_interaction,Is astragalus safe to use if someone has an autoimmune disease or has had a transplant?
REC-0015,HERB-0003,safety_interaction,"Can you take astragalus during pregnancy, or should it be avoided?"
REC-0015,HERB-0003,safety_interaction,Does astragalus interact with immunosuppressant drugs or other medicines that affect the immune system?
REC-0015,HERB-0003,safety_interaction,"How should I choose a safe astragalus product in Canada, and what should I check on the label?"
REC-0016,HERB-0004,herb_profile,What is Chinese licorice usually used for in traditional Chinese medicine?
REC-0016,HERB-0004,herb_profile,"Is there any modern evidence for licorice root, and what kind of safety concerns are there?"
REC-0016,HERB-0004,herb_profile,Who should avoid Chinese licorice or get medical advice before using it?
REC-0016,HERB-0004,herb_profile,"Can Chinese licorice interact with medicines like diuretics, digoxin, or blood pressure drugs?"
REC-0016,HERB-0004,herb_profile,"If I'm buying licorice in Canada, what should I look for on the label or product information?"
REC-0017,HERB-0004,use_case,What could help soothe a sore throat or throat irritation if I’m looking at Chinese licorice?
REC-0017,HERB-0004,use_case,Is Chinese licorice traditionally used for hoarseness or cough-related throat discomfort?
REC-0017,HERB-0004,use_case,What does the modern evidence say about licorice for easing oral or throat irritation?
